Date,Open,High,Low,Close,Adj Close,Volume
12-11-2014,517.846008,531.202026,517.89502,526.205994,525.992981,3617680
13-11-2014,527.343994,530.312012,514.13501,521.159973,520.948975,2799445
14-11-2014,524.22699,531.103027,514.481995,518.340027,518.130188,4717776
17-11-2014,514.481995,541.739014,534.763977,539.463989,539.245605,7159195
18-11-2014,542.828003,544.856018,516.955017,535.85199,535.635071,4548021
19-11-2014,538.276001,539.166992,514.778992,523.880981,523.668884,4678498
20-11-2014,527.343994,528.184998,521.60498,519.18103,518.970825,3828956
21-11-2014,522.940979,533.676025,519.429016,525.36499,525.152283,4019464
24-11-2014,525.36499,532.934021,507.556,520.814026,520.60321,3793348
25-11-2014,522.940979,523.435974,509.535004,516.312012,516.102966,4359660
26-11-2014,516.164001,519.231018,506.071991,514.432007,514.223755,4638624
27-11-2014,509.535004,517.301025,515.966003,514.432007,514.223755,5701904
28-11-2014,518.835022,533.280029,524.473999,527.838013,527.624329,8262479
01-12-2014,534.120972,534.120972,522.495972,530.312012,530.097351,5148090
02-12-2014,530.015015,530.114014,520.715027,523.336975,523.125122,3593680
03-12-2014,529.52002,533.08197,516.460022,523.385986,523.174072,4040048
04-12-2014,528.333008,531.549011,516.906006,522.148987,521.937622,3639458
05-12-2014,518.883972,525.117981,508.248993,519.775024,519.564575,2469524
08-12-2014,519.528015,524.869995,496.029999,510.22699,510.020447,3135333
09-12-2014,511.760986,515.322998,487.966003,497.908997,497.707428,5562200
10-12-2014,490.735992,509.436005,492.714996,505.576996,505.372314,5621126
11-12-2014,501.421997,507.358002,490.735992,498.553009,498.351166,4069618
12-12-2014,493.605988,502.362,487.125,494.644012,494.443756,3900395
15-12-2014,489.64801,496.475006,473.421997,488.708008,488.510162,3896475
16-12-2014,484.799988,486.481995,463.677002,476.539001,476.346069,4813221
17-12-2014,473.520996,481.238007,475.747009,470.751007,470.560425,6238806
18-12-2014,475.945007,484.799988,479.011993,479.753998,479.559784,4417769
19-12-2014,485.096985,492.516998,476.242004,480.743988,480.549377,4665945
22-12-2014,480.94101,492.02301,480.446991,489.450012,489.251862,3225906
23-12-2014,491.528015,496.128998,476.440002,482.970001,482.774475,4165775
24-12-2014,484.947998,487.520996,473.867004,478.813995,478.620148,6510046
26-12-2014,477.873993,482.376007,480.001007,480.001007,479.806671,2339160
29-12-2014,480.001007,492.714996,485.046997,489.79599,489.597717,2818585
30-12-2014,493.704987,494.199005,485.838989,488.51001,488.312256,1701736
31-12-2014,489.252014,493.40799,487.026001,490.290985,490.092499,3217612
01-01-2015,489.252014,494.149994,491.972992,493.160004,492.960358,944552
02-01-2015,491.972992,511.908997,501.322998,506.368988,506.164001,4193094
05-01-2015,504.687012,520.41803,493.951996,518.241028,518.03125,6758676
06-01-2015,508.891998,508.891998,484.009003,496.07901,495.878174,7979599
07-01-2015,489.747009,495.089996,495.683014,488.609009,488.411194,9232657
08-01-2015,498.651001,509.337006,510.028992,506.566986,506.361908,5535588
09-01-2015,515.718018,519.379028,505.825012,516.757019,516.547791,4053562
12-01-2015,512.997986,519.132019,509.782013,516.757019,516.547791,2560568
13-01-2015,514.828003,520.120972,508.496002,513.937988,513.729919,4328812
14-01-2015,515.966003,521.060974,518.192017,514.828003,514.619568,6070608
15-01-2015,522.69397,530.312012,516.856018,527.294006,527.080566,6902556
16-01-2015,525.463989,530.114014,517.598022,520.171021,519.960449,4250137
19-01-2015,520.913025,533.874023,529.075012,532.784973,532.569275,4617341
20-01-2015,533.03302,555.046997,540.205994,553.265991,553.041992,6140342
21-01-2015,550.940979,552.523987,542.729004,545.646973,545.426086,6521364
22-01-2015,544.80603,562.664978,567.908997,560.487976,560.261047,6010572
23-01-2015,568.89801,584.877014,589.724976,582.205017,581.969299,7764737
27-01-2015,589.724976,601.250977,580.770996,598.133972,597.891846,7213518
28-01-2015,592.643005,592.841003,574.439026,582.947021,582.710999,8297786
29-01-2015,579.781006,594.325012,574.932983,592.247986,592.00824,5874507
30-01-2015,595.018005,598.28302,574.685974,578.940002,578.705627,4180985
02-02-2015,581.562012,589.575989,589.872986,586.211975,585.97467,4363228
03-02-2015,591.307983,605.901001,581.958008,596.89801,596.656372,6100344
04-02-2015,600.211975,600.211975,575.823975,585.124023,584.887146,3398716
05-02-2015,584.728027,596.502014,546.340027,582.947021,582.710999,6847443
06-02-2015,561.031982,565.929993,535.55603,553.661011,553.43689,12221203
09-02-2015,544.163025,548.565979,537.583984,536.890991,536.673645,4628549
10-02-2015,538.22699,561.971985,547.478027,558.114014,557.888062,5617236
11-02-2015,560.982971,565.335999,546.637024,552.968994,552.745117,4637550
12-02-2015,556.234009,559.994019,549.109985,555.838013,555.612976,5488927
13-02-2015,556.729004,561.18103,559.499023,559.547974,559.321472,3506532
16-02-2015,562.961975,574.289978,554.700012,568.057007,567.827026,5793608
18-02-2015,566.622009,580.770996,566.028992,578.098999,577.86499,5846505
19-02-2015,579.781006,586.262024,566.177002,570.432007,570.20105,4316943
20-02-2015,573.349976,578.791992,565.979004,573.745972,573.513672,3907248
23-02-2015,575.823975,578.247986,554.007996,568.106995,567.877014,3040407
24-02-2015,570.877014,571.866028,558.015015,558.409973,558.183899,4350357
25-02-2015,560.685974,569.887024,551.434998,562.169983,561.942383,3082741
26-02-2015,564.049988,565.979004,557.52002,554.700012,554.475464,3570924
27-02-2015,561.031982,574.833984,567.018005,569.046021,568.815674,4357038
02-03-2015,591.059998,594.622009,565.929993,578.791992,578.557678,4951897
03-03-2015,576.317993,576.317993,564.049988,568.007996,567.778076,3593209
04-03-2015,575.328979,585.817017,561.674988,568.007996,567.778076,6242784
05-03-2015,569.887024,571.66803,556.036011,564.643982,564.415405,3354511
09-03-2015,564.940002,567.513,552.770996,559.103027,558.876709,3566056
10-03-2015,561.872986,566.622009,542.382019,554.255005,554.03064,3917161
11-03-2015,555.046997,559.202026,548.41803,545.054016,544.833374,3184841
12-03-2015,549.010986,560.932983,549.208984,557.916016,557.690125,3430750
13-03-2015,559.646973,559.697021,548.367981,552.424988,552.201355,5382476
16-03-2015,553.117004,559.697021,556.432007,550.98999,550.766907,2786972
17-03-2015,558.015015,572.856018,550.593994,565.484985,565.256042,5395883
18-03-2015,564.296997,564.940002,545.400024,554.255005,554.03064,4569614
19-03-2015,559.004028,562.911987,535.258972,547.922974,547.701172,3295114
20-03-2015,543.124023,544.80603,542.234009,541.789001,541.569641,5119750
23-03-2015,542.234009,551.880981,522.79303,545.598022,545.377136,3153860
24-03-2015,545.94397,546.637024,527.838013,526.60199,526.388794,4519047
25-03-2015,529.817017,539.809998,515.27301,536.099976,535.882935,8625254
26-03-2015,525.265991,533.280029,512.651001,518.687012,518.477051,6544581
27-03-2015,520.072021,531.103027,525.710999,529.669006,529.45459,4721244
30-03-2015,531.153015,535.307983,531.89502,534.268982,534.052673,4012523
31-03-2015,534.41803,553.859009,542.184998,544.361023,544.140625,5409542
01-04-2015,543.27301,560.388977,555.349976,558.905029,558.678772,4222512
06-04-2015,563.900024,573.5,554.049988,568.150024,567.920044,5728358
07-04-2015,569.049988,570.700012,559.200012,560.349976,560.123108,3201751
08-04-2015,565,569.599976,552.25,561.5,561.272705,3774897
09-04-2015,562.799988,564.849976,555.549988,559.900024,559.67334,3043135
10-04-2015,558.799988,569.400024,552.450012,562.650024,562.422241,2808049
13-04-2015,563,563.900024,538.25,556.25,556.02478,2889208
15-04-2015,551.25,551.25,534.200012,540.450012,540.231201,4118983
16-04-2015,543.75,551.25,534.150024,541.25,541.030884,4027716
17-04-2015,541.5,544.799988,521.049988,535.349976,535.13324,2728290
20-04-2015,543.150024,543.150024,523.5,533.200012,532.984131,5011252
21-04-2015,531.450012,538,510.649994,527.400024,527.186523,3243871
22-04-2015,529,529.700012,508.450012,523.5,523.288086,4311384
23-04-2015,527.799988,527.799988,508.600006,512,511.792725,4961920
24-04-2015,515.25,520,513.049988,516.200012,515.991028,4302328
27-04-2015,521,523,518.349976,516.849976,516.640747,3082875
28-04-2015,520.5,533.799988,516.799988,529.849976,529.635498,6417077
29-04-2015,526.75,528,506.75,520.900024,520.689148,3685760
30-04-2015,518.200012,520.799988,497.5,508.25,508.04425,10009172
04-05-2015,511.75,516,506.049988,506.450012,506.244995,5849866
05-05-2015,509.5,515.700012,495.799988,510.450012,510.243378,3398712
06-05-2015,508.5,508.5,482.600006,497.850006,497.648468,5925410
07-05-2015,493.5,503,497.350006,488.100006,487.902405,5504557
08-05-2015,498.75,515.900024,517,513.700012,513.492065,6229295
11-05-2015,522.25,530.950012,511.149994,529.700012,529.485596,5520513
12-05-2015,525.700012,525.700012,506.549988,513.549988,513.342102,4569616
13-05-2015,517,525.549988,510.100006,520.450012,520.239319,4442178
14-05-2015,519,519,517.049988,516.599976,516.390808,3587736
15-05-2015,519,524.5,510.299988,519.900024,519.689575,4038816
18-05-2015,517.25,524.400024,508.700012,520.700012,520.489197,4363711
19-05-2015,516.900024,518.75,503.549988,509.799988,509.593597,5500642
20-05-2015,511,513.849976,505,505.25,505.045471,6385674
21-05-2015,506.5,512.5,510.200012,511.200012,510.993073,4708702
22-05-2015,511.75,516.950012,503,514.650024,514.44165,4744826
25-05-2015,513,514,493.549988,505.299988,505.095428,3080546
26-05-2015,505,506,463.549988,497.600006,497.39856,7389680
27-05-2015,473.600006,474.950012,472.25,471.75,471.559021,15936377
28-05-2015,473.850006,487.450012,479.399994,484.350006,484.153931,11792862
29-05-2015,485.200012,490.25,471,481.649994,481.455017,7892019
01-06-2015,482.899994,482.899994,465,472.049988,471.858887,4610219
02-06-2015,473.100006,478.399994,434.700012,466.950012,466.760986,6237231
03-06-2015,467,468.75,445.450012,456.850006,456.66507,9702740
04-06-2015,456.850006,458.450012,439.5,451.200012,451.017365,8001049
05-06-2015,445.649994,449.549988,429.049988,442.100006,441.921021,11195670
08-06-2015,435.299988,438,431.299988,435.600006,435.423645,7072020
09-06-2015,431.299988,443.799988,436,440.049988,439.871826,7741629
10-06-2015,439.899994,449.399994,428.100006,446.600006,446.41922,9716102
11-06-2015,446.5,446.799988,417.25,430.200012,430.025848,9668308
12-06-2015,426.549988,429.5,418.100006,421.799988,421.629242,10871836
15-06-2015,426,427.950012,421.25,426.350006,426.177399,7287773
16-06-2015,427.049988,435.799988,426.5,432.799988,432.624786,6192559
17-06-2015,436,437.399994,431.399994,433.700012,433.524445,7034146
18-06-2015,434.899994,447.5,431.600006,445.450012,445.269684,8198142
19-06-2015,444.799988,444.799988,435,433.049988,432.874664,6891821
22-06-2015,435,444,435,440.5,440.321655,5281379
23-06-2015,441,447.399994,428.100006,436,435.823486,5762483
24-06-2015,438.700012,438.700012,429.5,430.600006,430.42569,7081258
25-06-2015,433,436.100006,431.200012,432.399994,432.224945,7745469
26-06-2015,435,438.799988,418.149994,437.600006,437.422852,5009173
29-06-2015,428.799988,432.5,422.700012,428.25,428.07663,7143044
30-06-2015,428,436.25,431.399994,434.149994,433.974243,6387312
01-07-2015,436.75,447.399994,435,444.5,444.320038,6054910
02-07-2015,445,445,430.450012,436.399994,436.223328,4641851
03-07-2015,436,436,420.700012,433.149994,432.97464,3709457
06-07-2015,428,433.5,428,431.100006,430.925476,4600687
07-07-2015,434.350006,435.700012,400,431.549988,431.375275,5667938
08-07-2015,424,424,394.25,404.950012,404.786072,15521757
09-07-2015,400.149994,403.350006,398.049988,397.799988,397.638947,9351601
10-07-2015,400.25,405.799988,397.049988,401.899994,401.737305,13661389
13-07-2015,406.700012,406.700012,380.950012,402.100006,401.937225,8047912
14-07-2015,403.5,403.5,382.600006,385.950012,385.793762,11333562
15-07-2015,387,395,392.450012,394.299988,394.14035,15561638
16-07-2015,394.899994,398.649994,390.399994,395.25,395.089996,5199913
17-07-2015,395.950012,403.25,389.299988,398.049988,397.888855,6590110
20-07-2015,399,401.899994,386.100006,390.75,390.591797,5777196
21-07-2015,391.799988,393.299988,385.950012,389.100006,388.942474,6461958
22-07-2015,388,392.799988,385,389.549988,389.392273,5955109
23-07-2015,388.75,403.399994,389,401.350006,401.187531,9510349
24-07-2015,397.549988,399.350006,373,390.25,390.09201,7059848
27-07-2015,384.25,385.25,366.100006,377.450012,377.297211,8450904
28-07-2015,373,374.899994,372.700012,370.100006,369.950165,10975840
29-07-2015,373.899994,379.950012,376,376.450012,376.297607,9532212
30-07-2015,381.649994,382.5,380.049988,377.450012,377.297211,6562559
31-07-2015,380.799988,390.5,382,383.850006,383.694611,6947628
03-08-2015,386.350006,394.399994,378,388.200012,388.042847,6647982
04-08-2015,385.899994,387,375.100006,380.75,380.595856,5621275
05-08-2015,378.75,388.5,373.200012,376.399994,376.24762,8298929
06-08-2015,376.5,384.700012,382.399994,383.100006,382.944916,7976356
07-08-2015,382.399994,396,382.100006,393.399994,393.240723,10706804
10-08-2015,384,395.299988,367.549988,385.700012,385.543854,14494111
